FullName,LastFirst,EmployeeNo,PercentMissed,VotingPercent,VotingGrade,SponsorPercent,CombinedPercent,CombinedGrade,Link
Rep. Susan Emerson (R),"Emerson, Susan",376328,72.4,50,Inc,0.3,50.3,Inc,http://gcm.io/Legislator/376328
Rep. Elisabeth Sanders (R),"Sanders, Elisabeth",376625,100,50,Inc,0.3,50.3,Inc,http://gcm.io/Legislator/376625
Rep. Ernest Bridge (R),"Bridge, Ernest",377209,100,50,Inc,0,50,Inc,http://gcm.io/Legislator/377209
Rep. Guy Comtois (R),"Comtois, Guy",376920,100,50,Inc,0,50,Inc,http://gcm.io/Legislator/376920
Rep. David Hess (R),"Hess, David",375955,42.9,49.7,C-,0.3,50,C,http://gcm.io/Legislator/375955
Rep. Shem Kellogg (R),"Kellogg, Shem",377242,100,50,Inc,0,50,Inc,http://gcm.io/Legislator/377242
Rep. Anne Priestley (R),"Priestley, Anne",376266,100,50,Inc,0,50,Inc,http://gcm.io/Legislator/376266
Rep. Ted Rokas (D),"Rokas, Ted",376857,100,50,Inc,0,50,Inc,http://gcm.io/Legislator/376857
Rep. Herbert Richardson (R),"Richardson, Herbert",376514,9.2,55.6,C,-5.9,49.7,C-,http://gcm.io/Legislator/376514
Rep. Gary Azarian (R),"Azarian, Gary",376901,10.2,49.5,C-,0,49.5,C-,http://gcm.io/Legislator/376901
Rep. Donald Flanders (R),"Flanders, Donald",376332,6.1,50,C,-0.8,49.2,C-,http://gcm.io/Legislator/376332
Rep. Frank Kotowski (R),"Kotowski, Frank",376831,8.2,51.3,C,-2.2,49.1,C-,http://gcm.io/Legislator/376831
Rep. Joseph Hagan (R),"Hagan, Joseph",376819,58.2,52.2,Inc,-3.2,49,Inc,http://gcm.io/Legislator/376819
Rep. Shawn Jasper (R),"Jasper, Shawn",373332,18.4,48.1,Speaker,0,48.1,Speaker,http://gcm.io/Legislator/373332
Rep. Dennis Fields (R),"Fields, Dennis",369207,0,47.8,C-,0,47.8,C-,http://gcm.io/Legislator/369207
Rep. Chris Brown (D),"Brown, Chris",377285,88.8,47.6,Inc,0,47.6,Inc,http://gcm.io/Legislator/377285
Rep. Karen Umberger (R),"Umberger, Karen",376879,2,52.2,C,-4.6,47.6,C-,http://gcm.io/Legislator/376879
Rep. Carolyn Gargasz (R),"Gargasz, Carolyn",376336,61.2,47.3,Inc,0,47.3,Inc,http://gcm.io/Legislator/376336
Rep. Marcia Moody (D),"Moody, Marcia",376605,88.8,46.8,Inc,-0.5,46.3,Inc,http://gcm.io/Legislator/376605
Rep. Richard Hinch (R),"Hinch, Richard",376823,0,51.6,C,-6.7,44.9,C-,http://gcm.io/Legislator/376823
Rep. David Kidder (R),"Kidder, David",376591,31.6,44.9,C-,-0.3,44.6,C-,http://gcm.io/Legislator/376591
Rep. Karel Crawford (R),"Crawford, Karel",377087,48,44.9,C-,-0.5,44.4,C-,http://gcm.io/Legislator/377087
Rep. David Pierce (R),"Pierce, David",377256,0,44.1,C-,0,44.1,C-,http://gcm.io/Legislator/377256
Rep. Charlene Takesian (R),"Takesian, Charlene",377178,5.1,44.1,C-,0,44.1,C-,http://gcm.io/Legislator/377178
Rep. Robert Elliott (R),"Elliott, Robert",376744,15.3,47.3,C-,-4.3,43,C-,http://gcm.io/Legislator/376744
Rep. John Fothergill (R),"Fothergill, John",377226,4.1,43.3,C-,-1.1,42.2,C-,http://gcm.io/Legislator/377226
Rep. Rebecca Brown (D),"Brown, Rebecca",377073,60.2,41.7,Inc,0,41.7,Inc,http://gcm.io/Legislator/377073
Rep. Janice Gardner (D),"Gardner, Janice",377103,52,41.1,Inc,0,41.1,Inc,http://gcm.io/Legislator/377103
Rep. James Grenier (R),"Grenier, James",377108,14.3,43,C-,-2.4,40.6,C-,http://gcm.io/Legislator/377108
Rep. James Verschueren (D),"Verschueren, James",377186,62.2,41.1,Inc,-1.3,39.8,Inc,http://gcm.io/Legislator/377186
Rep. Barbara Shaw (D),"Shaw, Barbara",376392,12.2,37.4,D+,0.3,37.7,D+,http://gcm.io/Legislator/376392
Rep. Kenneth Gidge (D),"Gidge, Kenneth",376816,18.4,37.4,D+,0,37.4,D+,http://gcm.io/Legislator/376816
Rep. Andrew O'Hearne (D),"O'Hearne, Andrew",377157,59.2,37.4,Inc,0,37.4,Inc,http://gcm.io/Legislator/377157
Rep. Travis Bennett (D),"Bennett, Travis",377280,50,36.6,Inc,0,36.6,Inc,http://gcm.io/Legislator/377280
Rep. William O'Neil (D),"O'Neil, William",377198,62.2,35.8,Inc,0,35.8,Inc,http://gcm.io/Legislator/377198
Rep. Wendy Piper (D),"Piper, Wendy",377159,32.7,35.5,D+,0,35.5,D+,http://gcm.io/Legislator/377159
Rep. Kris Roberts (D),"Roberts, Kris",376619,15.3,35.5,D+,0,35.5,D+,http://gcm.io/Legislator/376619
Rep. Dale Sprague (D),"Sprague, Dale",376769,17.3,35.5,D+,0,35.5,D+,http://gcm.io/Legislator/376769
Rep. Sharon Nordgren (D),"Nordgren, Sharon",373514,50,34.1,Inc,0,34.1,Inc,http://gcm.io/Legislator/373514
Rep. Jean Jeudy (D),"Jeudy, Jean",376657,34.7,33.9,D+,0,33.9,D+,http://gcm.io/Legislator/376657
Rep. Efstathia Booras (D),"Booras, Efstathia",377071,50,33.6,Inc,0,33.6,Inc,http://gcm.io/Legislator/377071
Rep. Larry Phillips (D),"Phillips, Larry",377158,27.6,32.8,D,0.8,33.6,D+,http://gcm.io/Legislator/377158
Rep. Kenneth Ward (D),"Ward, Kenneth",376883,49,33.1,D+,0,33.1,D+,http://gcm.io/Legislator/376883
Rep. Andrew Schmidt (D),"Schmidt, Andrew",377018,25.5,32.3,D,0,32.3,D,http://gcm.io/Legislator/377018
Rep. Deborah Wheeler (D),"Wheeler, Deborah",376728,22.4,32.8,D,-0.5,32.3,D,http://gcm.io/Legislator/376728
Rep. Armand Forest (D),"Forest, Armand",376705,46.9,32,D,0,32,D,http://gcm.io/Legislator/376705
Rep. Dick Patten (D),"Patten, Dick",377001,36.7,31.2,D,0,31.2,D,http://gcm.io/Legislator/377001
Rep. Geoffrey Hirsch (D),"Hirsch, Geoffrey",377121,39.8,28.5,D,2.2,30.7,D,http://gcm.io/Legislator/377121
Rep. Jane Beaulieu (D),"Beaulieu, Jane",376550,20.4,30.6,D,0,30.6,D,http://gcm.io/Legislator/376550
Rep. Roger Berube (D),"Berube, Roger",375965,39.8,30.6,D,0,30.6,D,http://gcm.io/Legislator/375965
Rep. Chip Rice (D),"Rice, Chip",376893,16.3,30.4,D,0,30.4,D,http://gcm.io/Legislator/376893
Rep. David Woodbury (D),"Woodbury, David",377193,34.7,30.4,D,0,30.4,D,http://gcm.io/Legislator/377193
Rep. Larry Converse (D),"Converse, Larry",376544,0,30.1,D,0,30.1,D,http://gcm.io/Legislator/376544
Rep. Alan Turcotte (D),"Turcotte, Alan",377183,3.1,30.1,D,0,30.1,D,http://gcm.io/Legislator/377183
Rep. Linda DiSilvestro (D),"DiSilvestro, Linda",377091,35.7,29.8,D,0,29.8,D,http://gcm.io/Legislator/377091
Rep. Andrew White (D),"White, Andrew",376894,22.4,29.8,D,0,29.8,D,http://gcm.io/Legislator/376894
Rep. Douglas Ley (D),"Ley, Douglas",377135,17.3,29.8,D,-0.8,29,D,http://gcm.io/Legislator/377135
Rep. Henry Parkhurst (D),"Parkhurst, Henry",376510,35.7,29,D,0,29,D,http://gcm.io/Legislator/376510
Rep. Marjorie Smith (D),"Smith, Marjorie",376166,14.3,29,D,0,29,D,http://gcm.io/Legislator/376166
Rep. Susan Ticehurst (D),"Ticehurst, Susan",377181,0,29,D,0,29,D,http://gcm.io/Legislator/377181
Rep. Timothy Smith (D),"Smith, Timothy",377170,40.8,28.8,D,0,28.8,D,http://gcm.io/Legislator/377170
Rep. Helen Deloge (D),"Deloge, Helen",376931,19.4,27.9,D,0,27.9,D,http://gcm.io/Legislator/376931
Rep. Audrey Stevens (D),"Stevens, Audrey",377172,24.5,27.7,D,0,27.7,D,http://gcm.io/Legislator/377172
Rep. Thomas Buco (D),"Buco, Thomas",376645,0,28,D,-0.5,27.5,D,http://gcm.io/Legislator/376645
Rep. Patricia Lovejoy (D),"Lovejoy, Patricia",376970,16.3,27.2,D,0.3,27.5,D,http://gcm.io/Legislator/376970
Rep. Alethea Froburg (D),"Froburg, Alethea",377297,30.6,27.4,D,0,27.4,D,http://gcm.io/Legislator/377297
Rep. Christopher Herbert (D),"Herbert, Christopher",377303,28.6,27.4,D,0,27.4,D,http://gcm.io/Legislator/377303
Rep. Thomas Sherman (D),"Sherman, Thomas",377169,41.8,33.9,D+,-6.7,27.2,D,http://gcm.io/Legislator/377169
Rep. Barbara French (D),"French, Barbara",375846,24.5,26.3,D-,0.3,26.6,D-,http://gcm.io/Legislator/375846
Rep. Robert Theberge (D),"Theberge, Robert",376532,22.4,26.3,D-,0.3,26.6,D-,http://gcm.io/Legislator/376532
Rep. Howard Moffett (D),"Moffett, Howard",377148,28.6,26.3,D-,0,26.3,D-,http://gcm.io/Legislator/377148
Rep. Daniel Eaton (D),"Eaton, Daniel",364729,11.2,26.6,D-,-0.5,26.1,D-,http://gcm.io/Legislator/364729
Rep. Robert Walsh (D),"Walsh, Robert",376882,25.5,27.4,D,-1.3,26.1,D-,http://gcm.io/Legislator/376882
Rep. Michael O'Brien (D),"O'Brien, Michael",376720,22.4,25,D-,0.3,25.3,D-,http://gcm.io/Legislator/376720
Rep. Timothy Robertson (D),"Robertson, Timothy",375918,3.1,25.3,D-,0,25.3,D-,http://gcm.io/Legislator/375918
Rep. Susan Treleaven (D),"Treleaven, Susan",377318,4.1,25.3,D-,0,25.3,D-,http://gcm.io/Legislator/377318
Rep. Frank Heffron (D),"Heffron, Frank",377117,5.1,25,D-,0,25,D-,http://gcm.io/Legislator/377117
Rep. Gladys Johnsen (D),"Johnsen, Gladys",376954,19.4,25,D-,0,25,D-,http://gcm.io/Legislator/376954
Rep. Daniel Sullivan (D),"Sullivan, Daniel",376692,26.5,24.7,D-,0.3,25,D-,http://gcm.io/Legislator/376692
Rep. Naida Kaen (D),"Kaen, Naida",376077,18.4,23.9,D-,0.8,24.7,D-,http://gcm.io/Legislator/376077
Rep. Linda Massimilla (D),"Massimilla, Linda",377141,8.2,24.5,D-,0,24.5,D-,http://gcm.io/Legislator/377141
Rep. William Hatch (D),"Hatch, William",376674,36.7,27.4,D,-3,24.4,D-,http://gcm.io/Legislator/376674
Rep. Caroletta Alicea (D),"Alicea, Caroletta",377060,16.3,24.2,D-,0,24.2,D-,http://gcm.io/Legislator/377060
Rep. C. Lee Guerette (D),"Guerette, C. Lee",377300,16.3,24.2,D-,0,24.2,D-,http://gcm.io/Legislator/377300
Rep. Martin Jack (D),"Jack, Martin",377126,0,24.2,D-,0,24.2,D-,http://gcm.io/Legislator/377126
Rep. Alexis Simpson (D),"Simpson, Alexis",377314,9.2,24.7,D-,-0.5,24.2,D-,http://gcm.io/Legislator/377314
Rep. Jacqueline Cali-Pitts (D),"Cali-Pitts, Jacqueline",376191,9.2,24.2,D-,-0.8,23.4,D-,http://gcm.io/Legislator/376191
Rep. Ivy Vann (D),"Vann, Ivy",377319,13.3,23.7,D-,-0.3,23.4,D-,http://gcm.io/Legislator/377319
Rep. Alan Cohen (D),"Cohen, Alan",377288,9.2,22.8,D-,0.3,23.1,D-,http://gcm.io/Legislator/377288
Rep. Mary Gile (D),"Gile, Mary",376123,23.5,26.1,D-,-3,23.1,D-,http://gcm.io/Legislator/376123
Rep. Thomas Southworth (D),"Southworth, Thomas",377316,18.4,23.1,D-,0,23.1,D-,http://gcm.io/Legislator/377316
Rep. Robert Cushing (D),"Cushing, Robert",376111,0,22.6,D-,0.3,22.9,D-,http://gcm.io/Legislator/376111
Rep. Michael Edgar (D),"Edgar, Michael",377778,66.3,22.4,Inc,0,22.4,Inc,http://gcm.io/Legislator/377778
Rep. Peter Bixby (D),"Bixby, Peter",377070,4.1,22.3,D-,0,22.3,D-,http://gcm.io/Legislator/377070
Rep. Virginia Irwin (D),"Irwin, Virginia",377057,9.2,21.5,D-,0.8,22.3,D-,http://gcm.io/Legislator/377057
Rep. Richard McNamara (D),"McNamara, Richard",377143,20.4,21.8,D-,0.3,22.1,D-,http://gcm.io/Legislator/377143
Rep. Debbie DiFranco (D),"DiFranco, Debbie",377290,13.3,22.8,D-,-0.8,22,D-,http://gcm.io/Legislator/377290
Rep. Yvonne Thomas (D),"Thomas, Yvonne",376676,5.1,22,D-,0,22,D-,http://gcm.io/Legislator/376676
Rep. Benjamin Baroody (D),"Baroody, Benjamin",374801,14.3,21.8,D-,0,21.8,D-,http://gcm.io/Legislator/374801
Rep. Peter Leishman (D),"Leishman, Peter",376139,6.1,25,D-,-3.2,21.8,D-,http://gcm.io/Legislator/376139
Rep. Lee Oxenham (D),"Oxenham, Lee",377310,16.3,22.6,D-,-0.8,21.8,D-,http://gcm.io/Legislator/377310
Rep. Timothy Soucy (D),"Soucy, Timothy",376869,26.5,21.6,D-,0,21.6,D-,http://gcm.io/Legislator/376869
Rep. Jacalyn Cilley (D),"Cilley, Jacalyn",376564,32.7,28,D,-6.5,21.5,D-,http://gcm.io/Legislator/376564
Rep. Len DiSesa (D),"DiSesa, Len",377291,21.4,21.5,D-,0,21.5,D-,http://gcm.io/Legislator/377291
Rep. Mario Ratzki (D),"Ratzki, Mario",377160,6.1,21.5,D-,0,21.5,D-,http://gcm.io/Legislator/377160
Rep. Gilman Shattuck (D),"Shattuck, Gilman",376652,15.3,21.5,D-,0,21.5,D-,http://gcm.io/Legislator/376652
Rep. John Bordenet (D),"Bordenet, John",377282,0,21,D-,0,21,D-,http://gcm.io/Legislator/377282
Rep. Suzanne Gottling (D),"Gottling, Suzanne",376780,4.1,20.7,D-,0.3,21,D-,http://gcm.io/Legislator/376780
Rep. George Saunderson (D),"Saunderson, George",377322,0,21,D-,0,21,D-,http://gcm.io/Legislator/377322
Rep. Robert Backus (D),"Backus, Robert",377064,5.1,21.2,D-,-0.3,20.9,D-,http://gcm.io/Legislator/377064
Rep. Martha Hennessey (D),"Hennessey, Martha",377302,18.4,20.4,D-,0.5,20.9,D-,http://gcm.io/Legislator/377302
Rep. Judith Spang (D),"Spang, Judith",376278,3.1,20.7,D-,0,20.7,D-,http://gcm.io/Legislator/376278
Rep. Tara Sad (D),"Sad, Tara",376667,13.3,21,D-,-0.5,20.5,D-,http://gcm.io/Legislator/376667
Rep. Richard Ames (D),"Ames, Richard",377061,0,20.4,D-,0,20.4,D-,http://gcm.io/Legislator/377061
Rep. Clyde Carson (D),"Carson, Clyde",377082,4.1,20.4,D-,0,20.4,D-,http://gcm.io/Legislator/377082
Rep. Karen Ebel (D),"Ebel, Karen",377093,7.1,20.7,D-,-0.3,20.4,D-,http://gcm.io/Legislator/377093
Rep. James MacKay (D),"MacKay, James",376028,0,19.9,F,0.3,20.2,D-,http://gcm.io/Legislator/376028
Rep. David Karrick (D),"Karrick, David",377127,3.1,19.9,F,0,19.9,F,http://gcm.io/Legislator/377127
Rep. Wayne Moynihan (D),"Moynihan, Wayne",376088,0,19.9,F,0,19.9,F,http://gcm.io/Legislator/376088
Rep. William Pearson (D),"Pearson, William",377311,17.3,19.5,F,0,19.5,F,http://gcm.io/Legislator/377311
Rep. Paul Henle (D),"Henle, Paul",377119,3.1,18.8,F,0,18.8,F,http://gcm.io/Legislator/377119
Rep. Paula Bradley (D),"Bradley, Paula",375817,17.3,18.5,F,0,18.5,F,http://gcm.io/Legislator/375817
Rep. Mary Freitas (D),"Freitas, Mary",377296,0,18.3,F,0,18.3,F,http://gcm.io/Legislator/377296
Rep. Suzanne Harvey (D),"Harvey, Suzanne",376584,7.1,18.3,F,0,18.3,F,http://gcm.io/Legislator/376584
Rep. Gerald Ward (D),"Ward, Gerald",377188,4.1,19.1,F,-0.8,18.3,F,http://gcm.io/Legislator/377188
Rep. Kermit Williams (D),"Williams, Kermit",377192,11.2,19.6,F,-1.3,18.3,F,http://gcm.io/Legislator/377192
Rep. Patricia Higgins (D),"Higgins, Patricia",377120,11.2,19.1,F,-1.1,18,F,http://gcm.io/Legislator/377120
Rep. Raymond Gagnon (D),"Gagnon, Raymond",376781,1,17.7,F,0,17.7,F,http://gcm.io/Legislator/376781
Rep. Patrick Long (D),"Long, Patrick",376696,9.2,17.7,F,0,17.7,F,http://gcm.io/Legislator/376696
Rep. Carol Roberts (D),"Roberts, Carol",377313,14.3,17.7,F,0,17.7,F,http://gcm.io/Legislator/377313
Rep. Christy Bartlett (D),"Bartlett, Christy",377066,6.1,17.2,F,0.3,17.5,F,http://gcm.io/Legislator/377066
Rep. Paula Francese (D),"Francese, Paula",377295,4.1,17.5,F,0,17.5,F,http://gcm.io/Legislator/377295
Rep. Linda Kenison (D),"Kenison, Linda",377304,11.2,17.5,F,0,17.5,F,http://gcm.io/Legislator/377304
Rep. Rebecca McBeath (D),"McBeath, Rebecca",377309,5.1,19.4,F,-1.9,17.5,F,http://gcm.io/Legislator/377309
Rep. Bruce Tatro (D),"Tatro, Bruce",377039,10.2,17.5,F,0,17.5,F,http://gcm.io/Legislator/377039
Rep. John Mann (D),"Mann, John",377138,0,17.2,F,0,17.2,F,http://gcm.io/Legislator/377138
Rep. Deanna Rollo (D),"Rollo, Deanna",376516,26.5,23.7,D-,-6.5,17.2,F,http://gcm.io/Legislator/376516
Rep. Kendall Snow (D),"Snow, Kendall",377315,2,16.9,F,0.3,17.2,F,http://gcm.io/Legislator/377315
Rep. Lucy Weber (D),"Weber, Lucy",376668,3.1,18.3,F,-1.1,17.2,F,http://gcm.io/Legislator/376668
Rep. Jeffrey Goley (D),"Goley, Jeffrey",376227,8.2,18,F,-1.1,16.9,F,http://gcm.io/Legislator/376227
Rep. Patricia Cornell (D),"Cornell, Patricia",377289,8.2,16.7,F,0,16.7,F,http://gcm.io/Legislator/377289
Rep. John Cloutier (D),"Cloutier, John",375829,0,16.7,F,-0.3,16.4,F,http://gcm.io/Legislator/375829
Rep. Laura Pantelakos (D),"Pantelakos, Laura",366385,5.1,20.2,D-,-3.8,16.4,F,http://gcm.io/Legislator/366385
Rep. Daniel Hansberry (D),"Hansberry, Daniel",377112,19.4,16.1,F,0,16.1,F,http://gcm.io/Legislator/377112
Rep. Dianne Schuett (D),"Schuett, Dianne",376862,7.1,16.9,F,-0.8,16.1,F,http://gcm.io/Legislator/376862
Rep. Suzanne Smith (D),"Smith, Suzanne",376866,5.1,18,F,-1.9,16.1,F,http://gcm.io/Legislator/376866
Rep. Susan Almy (D),"Almy, Susan",376095,0,19.4,F,-3.5,15.9,F,http://gcm.io/Legislator/376095
Rep. Mary Gorman (D),"Gorman, Mary",376228,1,17.5,F,-1.6,15.9,F,http://gcm.io/Legislator/376228
Rep. Jonathan Manley (D),"Manley, Jonathan",377139,0,15.1,F,0.8,15.9,F,http://gcm.io/Legislator/377139
Rep. Mary Heath (D),"Heath, Mary",377199,1,17.7,F,-1.9,15.8,F,http://gcm.io/Legislator/377199
Rep. William Baber (D),"Baber, William",377063,1,15.9,F,-0.3,15.6,F,http://gcm.io/Legislator/377063
Rep. Kevin Maes (D),"Maes, Kevin",377308,0,15.6,F,0,15.6,F,http://gcm.io/Legislator/377308
Rep. Marjorie Porter (D),"Porter, Marjorie",377006,7.1,16.9,F,-1.3,15.6,F,http://gcm.io/Legislator/377006
Rep. David Borden (D),"Borden, David",376763,9.2,14.5,CT,0.8,15.3,F,http://gcm.io/Legislator/376763
Rep. Richard Abel (D),"Abel, Richard",377321,8.2,15.1,F,0,15.1,F,http://gcm.io/Legislator/377321
Rep. June Frazer (D),"Frazer, June",376937,11.2,15.6,F,-0.5,15.1,F,http://gcm.io/Legislator/376937
Rep. Pamela Gordon (D),"Gordon, Pamela",377298,15.3,16.4,F,-1.3,15.1,F,http://gcm.io/Legislator/377298
Rep. David Luneau (D),"Luneau, David",377307,10.2,17.5,F,-2.4,15.1,F,http://gcm.io/Legislator/377307
Rep. Mary Jane Wallner (D),"Wallner, Mary Jane",368423,20.4,16.7,F,-1.9,14.8,CT,http://gcm.io/Legislator/368423
Rep. George Sykes (D),"Sykes, George",377176,0,14.5,CT,0,14.5,CT,http://gcm.io/Legislator/377176
Rep. Pamela Brown (D),"Brown, Pamela",377197,18.4,16.7,F,-2.4,14.3,CT,http://gcm.io/Legislator/377197
Rep. Janet Wall (D),"Wall, Janet",372557,0,15.6,F,-1.3,14.3,CT,http://gcm.io/Legislator/372557
Rep. Mary Cooney (D),"Cooney, Mary",376318,4.1,14.2,CT,0,14.2,CT,http://gcm.io/Legislator/376318
Rep. Wayne Burton (D),"Burton, Wayne",373142,2,15.1,F,-1.1,14,CT,http://gcm.io/Legislator/373142
Rep. David Cote (D),"Cote, David",374413,7.1,15.1,F,-1.1,14,CT,http://gcm.io/Legislator/374413
Rep. Mel Myler (D),"Myler, Mel",377153,6.1,17.5,F,-3.5,14,CT,http://gcm.io/Legislator/377153
Rep. Cynthia Chase (D),"Chase, Cynthia",376916,17.3,18.5,F,-4.6,13.9,CT,http://gcm.io/Legislator/376916
Rep. Marjorie Shepardson (D),"Shepardson, Marjorie",377168,0,14,CT,-0.3,13.7,CT,http://gcm.io/Legislator/377168
Rep. Charles Townsend (D),"Townsend, Charles",376877,0,13.4,CT,0,13.4,CT,http://gcm.io/Legislator/376877
Rep. David Doherty (D),"Doherty, David",377292,0,12.9,CT,0,12.9,CT,http://gcm.io/Legislator/377292
Rep. Latha Mangipudi (D),"Mangipudi, Latha",377200,1,13.2,CT,-0.5,12.7,CT,http://gcm.io/Legislator/377200
Rep. Peter Schmidt (D),"Schmidt, Peter",376521,1,13.2,CT,-0.5,12.7,CT,http://gcm.io/Legislator/376521
Rep. Michael Abbott (D),"Abbott, Michael",377279,0,12.4,CT,0,12.4,CT,http://gcm.io/Legislator/377279
Rep. Susan Ford (D),"Ford, Susan",376813,2,16.4,F,-4.8,11.6,CT,http://gcm.io/Legislator/376813
Rep. Cindy Rosenwald (D),"Rosenwald, Cindy",376622,8.2,16.9,F,-5.9,11,CT,http://gcm.io/Legislator/376622
Rep. Edward Butler (D),"Butler, Edward",376662,6.1,21.8,D-,-11,10.8,CT,http://gcm.io/Legislator/376662
Rep. Paul Berch (D),"Berch, Paul",377068,0,17.2,F,-6.5,10.7,CT,http://gcm.io/Legislator/377068
Rep. Timothy Horrigan (D),"Horrigan, Timothy",376826,0,14.5,CT,-3.8,10.7,CT,http://gcm.io/Legislator/376826
Rep. Stephen Shurtleff (D),"Shurtleff, Stephen",376628,0,14.2,CT,-3.5,10.7,CT,http://gcm.io/Legislator/376628
Rep. Skip Berrien (D),"Berrien, Skip",377281,0,12.4,CT,-2.4,10,CT,http://gcm.io/Legislator/377281
Rep. Michael Cahill (D),"Cahill, Michael",377079,0,9.1,CT,-3.8,5.3,CT,http://gcm.io/Legislator/377079
Rep. Katherine Rogers (D),"Rogers, Katherine",375919,14.3,15.9,F,-14.8,1.1,CT,http://gcm.io/Legislator/375919
